001,"92 of 1,016 registered voters = 9.06%"
United States Senator - Democratic Party,,,,,,,,,,,,,
,,,,,,,,,,,,Total,
,,,,,,,,,,,,56,64.37%
Ahmad R. Hassan,,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%
,,,,,,,,,,,,31,35.63%
,,,,,,,,,,,,87,100.00%
,,,,,,,,,,,,5,
,,,,,,,,,,,,0,
"United States Representative, District 15 - Democratic Party",,,,,,,,,,,,,
,,,,,,,,,,,,Total,
Bobby Pulido,,,2,100.00%,,44,70.97%,,17,68.00%,,63,70.79%
,,,,,,,,,,,,26,29.21%
,,,,,,,,,,,,89,100.00%
,,,,,,,,,,,,3,
,,,,,,,,,,,,0,
Governor - Democratic Party,,,,,,,,,,,,,
,,,,,,,,,,,,Total,
Gina Hinojosa,,,2,100.00%,,44,74.58%,,15,65.22%,,61,72.62%
,,,,,,,,,,,,10,11.90%
Jose Navarro Balbuena,,,0,0.00%,,3,5.08%,,1,4.35%,,4,4.76%
,,,,,,,,,,,,1,1.19%
Angela 'TiaAngíe' Villescaz,,,0,0.00%,,2,3.39%,,2,8.70%,,4,4.76%
,,,,,,,,,,,,1,1.19%
Andrew White,,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%
,,,,,,,,,,,,1,1.19%
Carlton W. Hart,,,0,0.00%,,1,1.69%,,1,4.35%,,2,2.38%
,,,,,,,,,,,,84,100.00%
,,,,,,,,,,,,8,
,,,,,,,,,,,,0,
001,"92 of 1,016 registered voters = 9.06%"
Lieutenant Governor - Democratic Party,,,,,,,,,,,,,
,,,,,,,,,,,,Total,
,,,,,,,,,,,,51,66.23%
Vikki Goodwin,,,1,50.00%,,16,30.19%,,5,22.73%,,22,28.57%
,,,,,,,,,,,,4,5.19%
,,,,,,,,,,,,77,100.00%
,,,,,,,,,,,,15,
,,,,,,,,,,,,0,
Attorney General - Democratic Party,,,,,,,,,,,,,
,,,,,,,,,,,,Total,
Nathan Johnson,,,1,50.00%,,24,50.00%,,13,61.90%,,38,53.52%
,,,,,,,,,,,,24,33.80%
Joe Jaworski,,,1,50.00%,,5,10.42%,,3,14.29%,,9,12.68%
,,,,,,,,,,,,71,100.00%
,,,,,,,,,,,,21,
,,,,,,,,,,,,0,
Comptroller of Public Accounts - Democratic Party,,,,,,,,,,,,,
,,,,,,,,,,,,Total,
,,,,,,,,,,,,40,57.14%
Michael Lange,,,0,0.00%,,14,28.57%,,6,31.58%,,20,28.57%
,,,,,,,,,,,,10,14.29%
,,,,,,,,,,,,70,100.00%
,,,,,,,,,,,,22,
,,,,,,,,,,,,0,
Commissioner of the General Land Office - Democratic Party,,,,,,,,,,,,,
,,,,,,,,,,,,Total,
Benjamin Flores,,,2,100.00%,,33,61.11%,,14,63.64%,,49,62.82%
,,,,,,,,,,,,29,37.18%
,,,,,,,,,,,,78,100.00%
,,,,,,,,,,,,14,
,,,,,,,,,,,,0,
001,"92 of 1,016 registered voters = 9.06%"
Commissioner of Agriculture - Democratic Party,,,,,,,,,,,,,
,,,,,,,,,,,,Total,
Clayton Tucker,,,1,100.00%,,49,100.00%,,18,100.00%,,68,100.00%
,,,,,,,,,,,,68,100.00%
,,,,,,,,,,,,24,
,,,,,,,,,,,,0,
Railroad Commissioner - Democratic Party,,
,Total,
,65,100.00%
,65,100.00%
,27,
,0,
"Chief Justice, Supreme Court - Democratic Party",,,,,,,,,,,,,
,,,,,,,,,,,,Total,
Maggie Ellis,,,1,50.00%,,42,77.78%,,19,82.61%,,62,78.48%
,,,,,,,,,,,,17,21.52%
,,,,,,,,,,,,79,100.00%
,,,,,,,,,,,,13,
,,,,,,,,,,,,0,
"Justice, Supreme Court, Place 2 - Unexpired Term - Democratic Party",,,,,,,,,,,,,
,,,,,,,,,,,,Total,
Chari Kelly,,,1,100.00%,,46,100.00%,,19,100.00%,,66,100.00%
,,,,,,,,,,,,66,100.00%
,,,,,,,,,,,,26,
,,,,,,,,,,,,0,
