POLLING LOCATIONS,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,,,
,,16-Feb,,17-Feb,,18-Feb,,19-Feb,,20-Feb,,21-Feb,,22-Feb,,23-Feb,,24-Feb,,25-Feb,,26-Feb,,27-Feb,,,,
,,DEM,REP,DEM,REP,DEM,REP,DEM,REP,DEM,REP,DEM,REP,DEM,REP,DEM,REP,DEM,REP,DEM,REP,DEM,REP,DEM,REP,DEM,REP,Total
1,Sgt. Fernando De La Rosa Library,Y A D I L O H,,147,40,176,51,172,41,177,60,116,32,49,12,151,66,144,70,142,64,178,55,342,149,1794,640,2434
2,Alton Recreation Center,,,86,29,115,25,89,19,117,21,84,13,29,2,67,14,79,20,87,29,138,39,198,67,1089,278,1367
3,Amigos Del Valle,,,79,28,104,25,127,28,107,32,80,11,44,6,101,28,99,33,123,34,124,38,294,77,1282,340,1622
4,Sgt. Rodriguez Community Center,,,196,11,136,10,126,3,133,8,126,6,44,4,60,8,52,6,50,5,60,9,148,13,1131,83,1214
5,Elections Annex Building,,,406,87,490,99,440,121,469,148,370,56,190,49,384,117,364,116,436,134,561,184,782,246,4892,1357,6249
6,San Carlos Endowment Center,,,48,10,48,19,62,12,68,18,46,12,16,3,45,14,58,7,48,11,60,16,114,40,613,162,775
7,UTRGV,,,198,25,296,50,269,29,270,46,243,60,117,19,268,44,256,45,281,76,363,90,728,146,3289,630,3919
8,Elsa Municipal Court,,,394,47,309,30,336,34,247,32,333,20,69,6,154,14,161,14,128,9,162,12,309,29,2602,247,2849
9,Granjeno Public Facility,,,10,4,2,5,8,1,12,1,6,4,5,2,5,4,9,2,8,3,12,10,32,18,109,54,163
10,Hidalgo Public Library,,,33,3,50,4,40,8,48,14,90,17,23,3,50,7,40,7,49,6,46,9,134,14,603,92,695
11,La Joya Youth Center,,,125,9,101,5,79,2,97,17,70,11,36,1,51,17,82,3,96,10,98,7,181,24,1016,106,1122
12,La Villa Multi-Purpose Bldg.,,,66,3,72,5,91,5,70,4,69,6,16,6,42,2,21,2,33,4,42,2,81,10,603,49,652
13,Fireman's Pumphouse,,,249,104,250,102,241,76,221,129,222,75,84,31,202,86,247,94,225,94,247,134,414,223,2602,1148,3750
14,Lark Community Center,,,498,194,530,159,407,146,481,179,403,145,140,49,303,164,343,194,357,192,414,236,712,330,4588,1988,6576
15,Palm View Community Center,,,84,28,85,21,90,21,74,15,52,14,23,1,81,19,52,28,76,10,86,24,206,61,909,242,1151
16,STC Nursing Campus Building B,,,41,13,46,15,32,5,50,12,20,13,7,3,40,13,36,11,40,14,60,23,107,29,479,151,630
17,STC Pecan Campus Building U,,,91,15,109,8,106,11,80,27,60,4,18,7,92,12,109,27,131,32,132,25,202,31,1130,199,1329
18,Mercedes Civic Center,,,94,32,84,22,69,13,101,24,92,6,25,2,88,26,88,33,79,25,113,39,183,68,1016,290,1306
19,Bannworth Gym,,,217,81,193,75,188,63,226,81,207,62,84,21,146,68,142,90,145,80,159,102,362,224,2069,947,3016
20,Mission Parks and Recreation Center,,,290,76,335,73,262,95,285,94,265,67,108,12,214,85,218,73,214,80,239,104,428,195,2858,954,3812
21,Veterans Memorial Pavilion,,,89,4,44,6,55,8,49,10,61,10,12,2,43,7,67,7,48,5,53,8,93,22,614,89,703
22,Pct.3 Fields Operations Office,,,43,3,18,4,29,1,20,0,15,0,17,1,22,0,17,1,20,2,22,5,33,5,256,22,278
23,Monte Alto ISD Teaching and Learning Center,,,26,3,17,5,23,1,28,3,29,3,4,0,14,5,13,0,16,2,28,3,59,9,257,34,291
24,Palmview Recreation Center,,,79,9,78,9,98,8,74,14,69,12,37,5,61,6,68,18,75,13,80,16,146,21,865,131,996
25,"Pct.3 ""The Mansion""",,,170,36,178,34,142,15,150,29,211,25,67,6,125,24,115,46,126,27,130,34,239,57,1653,333,1986
26,Development and Research Center,,,96,11,113,10,82,18,73,15,88,13,47,4,84,17,90,10,64,12,67,13,200,43,1004,166,1170
27,"Jose ""Pepe"" Salinas Center",,,274,66,230,63,186,48,254,65,180,36,59,13,175,57,169,49,147,54,194,70,418,126,2286,647,2933
28,Progreso Family Community Center,,,22,10,25,9,21,6,13,7,7,4,3,0,35,4,35,19,39,6,31,12,115,19,346,96,442
29,San Juan Memorial Library,,,349,49,276,69,275,46,285,41,279,56,107,18,221,32,172,54,185,43,218,51,417,77,2784,536,3320
30,Sullivan City WIC Clinic,,,197,13,151,3,92,7,56,9,102,11,42,0,56,5,42,6,64,0,69,7,139,16,1010,77,1087
31,Franklin D. Roosevelt Complex,,,265,61,263,81,227,59,262,77,168,41,57,9,227,70,213,73,249,97,295,108,561,204,2787,880,3667
,Sub Total,,,4962,1104,4924,1096,4464,950,4597,1232,4163,845,1579,297,3607,1035,3601,1158,3781,1173,4481,1485,8377,2593,48536,12968,61504
,Mail,,,0,0,0,0,4,4,105,16,116,28,0,0,201,41,89,16,2,3,387,73,224,68,1128,249,1377
,Total,,,4962,1104,4924,1096,4468,954,4702,1248,4279,873,1579,297,3808,1076,3690,1174,3783,1176,4868,1558,8601,2661,49664,13217,62881
